State,Sightseeing Place,Activity,Language Preferred,Hotel Nearby,Hotel Price (INR),Famous Food,Category
Andhra Pradesh,Fort in Andhra Pradesh,Boating,Konkani,Schroeder-Perez Hotel,4872,Idiyappam,Wildlife
Andhra Pradesh,Temple in Andhra Pradesh,Trekking,Konkani,Ramirez-Burns Hotel,8364,Thali,Romantic
Andhra Pradesh,Fort in Andhra Pradesh,Trekking,Marathi,"Mcdowell, Collins and Johnson Hotel",3200,Prawn Curry,Nature
Andhra Pradesh,Hill Station in Andhra Pradesh,Wildlife Safari,Punjabi,Woods LLC Hotel,4198,Rajasthani Laal Maas,Religious
Andhra Pradesh,Backwaters in Andhra Pradesh,Cultural Dance,Konkani,Wang-Anderson Hotel,6986,Dosa,Nature
Andhra Pradesh,Hill Station in Andhra Pradesh,Cultural Dance,Konkani,Mendez Ltd Hotel,7616,Prawn Curry,Historical
Andhra Pradesh,Fort in Andhra Pradesh,Cultural Dance,Konkani,Farley and Sons Hotel,7935,Seafood,Romantic
Andhra Pradesh,Hill Station in Andhra Pradesh,Cultural Dance,Tamil,Ramirez-Nunez Hotel,3243,Seafood,Wildlife
Andhra Pradesh,Backwaters in Andhra Pradesh,Historical Tour,English,Miller-Reed Hotel,4585,Rajasthani Laal Maas,Nature
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Wildlife Safari,Konkani,"Davis, Martinez and Mendez Hotel",3266,Dosa,Religious
Andhra Pradesh,Palace in Andhra Pradesh,Cultural Dance,Malayalam,Butler-Bell Hotel,5462,Idiyappam,Historical
Andhra Pradesh,Hill Station in Andhra Pradesh,Shopping,English,"Walker, Reese and Rodriguez Hotel",3082,Idiyappam,Religious
Andhra Pradesh,Palace in Andhra Pradesh,Trekking,Hindi,Johnson-Castro Hotel,6346,Thali,Religious
Andhra Pradesh,Beach in Andhra Pradesh,Shopping,Konkani,"Rogers, Moore and Barnes Hotel",2668,Thali,Adventure
Andhra Pradesh,Temple in Andhra Pradesh,Trekking,Tamil,"Graham, Lyons and Dixon Hotel",7357,Rajasthani Laal Maas,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Cultural Dance,Marathi,Wells-Reyes Hotel,6418,Chole Bhature,Historical
Andhra Pradesh,Hill Station in Andhra Pradesh,Boating,Malayalam,"Grant, Deleon and Morrow Hotel",8520,Prawn Curry,Romantic
Andhra Pradesh,Temple in Andhra Pradesh,Cultural Dance,Marathi,"Sherman, White and Mccormick Hotel",2186,Rajasthani Laal Maas,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Historical Tour,Malayalam,Lopez-Rodriguez Hotel,7258,Thali,Adventure
Andhra Pradesh,Backwaters in Andhra Pradesh,Historical Tour,Konkani,Johnson Group Hotel,7787,Idiyappam,Romantic
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Trekking,Tamil,Sullivan-Burnett Hotel,7251,Rajasthani Laal Maas,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Historical Tour,Hindi,Craig Inc Hotel,9486,Idiyappam,Nature
Andhra Pradesh,Temple in Andhra Pradesh,Camping,Marathi,Harrison-Scott Hotel,3008,Thali,Religious
Andhra Pradesh,Backwaters in Andhra Pradesh,Shopping,Punjabi,Potter Ltd Hotel,3040,Dosa,Historical
Andhra Pradesh,Backwaters in Andhra Pradesh,Camping,English,Sanders Ltd Hotel,9188,Thali,Adventure
Andhra Pradesh,Hill Station in Andhra Pradesh,Wildlife Safari,Konkani,"Williams, Shelton and Morgan Hotel",8892,Seafood,Romantic
Andhra Pradesh,Temple in Andhra Pradesh,Trekking,Hindi,Calhoun-Lynn Hotel,3603,Prawn Curry,Cultural
Andhra Pradesh,Backwaters in Andhra Pradesh,Shopping,Hindi,Hall-Dixon Hotel,9795,Dosa,Nature
Andhra Pradesh,Fort in Andhra Pradesh,Boating,Tamil,Hebert-Cross Hotel,6001,Rajasthani Laal Maas,Romantic
Andhra Pradesh,Temple in Andhra Pradesh,Shopping,Marathi,"Walsh, Parsons and Simmons Hotel",2298,Chole Bhature,Romantic
Andhra Pradesh,Palace in Andhra Pradesh,Cultural Dance,Marathi,"Marks, Reeves and Stark Hotel",9546,Seafood,Historical
Andhra Pradesh,Hill Station in Andhra Pradesh,Shopping,English,Gonzalez and Sons Hotel,2152,Chole Bhature,Romantic
Andhra Pradesh,Hill Station in Andhra Pradesh,Historical Tour,Hindi,"Nelson, Pratt and Beck Hotel",4036,Idiyappam,Nature
Andhra Pradesh,Beach in Andhra Pradesh,Historical Tour,Tamil,"Miller, Walton and George Hotel",5580,Thali,Historical
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Cultural Dance,Konkani,"Nelson, Martin and Brown Hotel",4393,Idiyappam,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Camping,English,Cox LLC Hotel,5160,Chole Bhature,Cultural
Andhra Pradesh,Backwaters in Andhra Pradesh,Wildlife Safari,Konkani,Mckinney-Miller Hotel,9583,Seafood,Wildlife
Andhra Pradesh,Temple in Andhra Pradesh,Shopping,Punjabi,"Garcia, Riddle and Palmer Hotel",3402,Thali,Religious
Andhra Pradesh,Beach in Andhra Pradesh,Boating,Punjabi,Young Group Hotel,1887,Dosa,Historical
Andhra Pradesh,Hill Station in Andhra Pradesh,Shopping,Punjabi,Scott PLC Hotel,8544,Thali,Wildlife
Andhra Pradesh,Fort in Andhra Pradesh,Cultural Dance,Malayalam,Stevenson-Cox Hotel,3242,Dosa,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Camping,Tamil,Thomas and Sons Hotel,8418,Thali,Nature
Andhra Pradesh,Palace in Andhra Pradesh,Camping,Punjabi,Byrd LLC Hotel,7359,Dosa,Historical
Andhra Pradesh,Fort in Andhra Pradesh,Boating,English,"Pratt, Maldonado and Martin Hotel",3482,Thali,Religious
Andhra Pradesh,Palace in Andhra Pradesh,Wildlife Safari,English,"Preston, Thornton and Lara Hotel",4719,Dosa,Wildlife
Andhra Pradesh,Fort in Andhra Pradesh,Camping,Marathi,Washington-Miller Hotel,5809,Dosa,Nature
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Cultural Dance,English,Hill-Gilbert Hotel,8270,Thali,Romantic
Andhra Pradesh,Palace in Andhra Pradesh,Boating,English,"Simmons, Willis and Ferguson Hotel",3914,Chole Bhature,Religious
Andhra Pradesh,Backwaters in Andhra Pradesh,Cultural Dance,Tamil,Meza Group Hotel,1683,Chole Bhature,Nature
Andhra Pradesh,Fort in Andhra Pradesh,Shopping,Hindi,Phillips-Obrien Hotel,3347,Prawn Curry,Wildlife
Andhra Pradesh,Hill Station in Andhra Pradesh,Wildlife Safari,Marathi,English PLC Hotel,1645,Chole Bhature,Cultural
Andhra Pradesh,Beach in Andhra Pradesh,Camping,English,King-Greer Hotel,9370,Idiyappam,Religious
Andhra Pradesh,Beach in Andhra Pradesh,Cultural Dance,Tamil,"Munoz, Lin and Maldonado Hotel",9336,Dosa,Religious
Andhra Pradesh,Palace in Andhra Pradesh,Boating,Tamil,"Allen, Patton and Lucas Hotel",2661,Seafood,Wildlife
Andhra Pradesh,Beach in Andhra Pradesh,Shopping,Marathi,Robbins-Mills Hotel,3882,Idiyappam,Cultural
Andhra Pradesh,Palace in Andhra Pradesh,Historical Tour,Marathi,Lowery-Martin Hotel,2689,Prawn Curry,Religious
Andhra Pradesh,Beach in Andhra Pradesh,Cultural Dance,Konkani,"Garcia, Rangel and Elliott Hotel",8274,Idiyappam,Wildlife
Andhra Pradesh,Hill Station in Andhra Pradesh,Boating,Konkani,Hicks-Baker Hotel,5800,Dosa,Nature
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Historical Tour,Hindi,Green LLC Hotel,6750,Idiyappam,Historical
Andhra Pradesh,Palace in Andhra Pradesh,Boating,Punjabi,Duncan-Reed Hotel,7622,Dosa,Historical
Andhra Pradesh,Fort in Andhra Pradesh,Shopping,Konkani,Hamilton-Padilla Hotel,5181,Rajasthani Laal Maas,Religious
Andhra Pradesh,Temple in Andhra Pradesh,Wildlife Safari,Konkani,Clayton-Sherman Hotel,9848,Dosa,Wildlife
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Shopping,Punjabi,"Rodriguez, Nguyen and Ross Hotel",4076,Seafood,Romantic
Andhra Pradesh,Fort in Andhra Pradesh,Camping,Tamil,Mccarthy and Sons Hotel,2729,Dosa,Romantic
Andhra Pradesh,Palace in Andhra Pradesh,Historical Tour,Hindi,Lang-Rodriguez Hotel,2890,Rajasthani Laal Maas,Cultural
Andhra Pradesh,Beach in Andhra Pradesh,Shopping,Punjabi,"Brown, Allen and Thompson Hotel",2154,Chole Bhature,Adventure
Andhra Pradesh,Temple in Andhra Pradesh,Camping,Tamil,Smith-Boyd Hotel,7094,Chole Bhature,Cultural
Arunachal Pradesh,Fort in Arunachal Pradesh,Wildlife Safari,Malayalam,"Warren, Woodward and Daniels Hotel",6548,Idiyappam,Historical
Arunachal Pradesh,Fort in Arunachal Pradesh,Historical Tour,Tamil,"Lane, Bryant and Gibson Hotel",3748,Dosa,Adventure
Arunachal Pradesh,Palace in Arunachal Pradesh,Cultural Dance,Tamil,"Smith, Martinez and Marquez Hotel",7110,Prawn Curry,Romantic
Arunachal Pradesh,Fort in Arunachal Pradesh,Cultural Dance,Hindi,Dominguez Group Hotel,5622,Rajasthani Laal Maas,Adventure
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Shopping,Malayalam,Fuller-Herrera Hotel,9913,Seafood,Adventure
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Boating,Marathi,"Russell, Caldwell and Porter Hotel",4633,Chole Bhature,Adventure
Arunachal Pradesh,Beach in Arunachal Pradesh,Shopping,Malayalam,"Hall, Reed and Barrett Hotel",9981,Rajasthani Laal Maas,Historical
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Camping,Marathi,Harrison PLC Hotel,8444,Rajasthani Laal Maas,Wildlife
Arunachal Pradesh,Beach in Arunachal Pradesh,Shopping,Marathi,"Harris, Aguilar and Hansen Hotel",3781,Idiyappam,Cultural
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Camping,English,"Walker, Mcgee and Johnson Hotel",7422,Rajasthani Laal Maas,Romantic
Arunachal Pradesh,Fort in Arunachal Pradesh,Camping,English,Watkins Inc Hotel,9080,Prawn Curry,Romantic
Arunachal Pradesh,Beach in Arunachal Pradesh,Trekking,Punjabi,Williams-Greene Hotel,6275,Rajasthani Laal Maas,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Wildlife Safari,Konkani,"Hood, Ferguson and Walter Hotel",7027,Seafood,Wildlife
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Historical Tour,Malayalam,Garcia-Goodwin Hotel,5524,Dosa,Historical
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Camping,Marathi,Lopez PLC Hotel,9021,Prawn Curry,Adventure
Arunachal Pradesh,Beach in Arunachal Pradesh,Camping,Marathi,"Smith, West and Roberts Hotel",2680,Chole Bhature,Nature
Arunachal Pradesh,Temple in Arunachal Pradesh,Shopping,Marathi,Kennedy Ltd Hotel,7940,Thali,Nature
Arunachal Pradesh,Beach in Arunachal Pradesh,Shopping,Malayalam,Reid LLC Hotel,9610,Dosa,Romantic
Arunachal Pradesh,Fort in Arunachal Pradesh,Shopping,Malayalam,"Rich, Davis and Fuller Hotel",9874,Prawn Curry,Historical
Arunachal Pradesh,Beach in Arunachal Pradesh,Camping,Hindi,"Olson, Washington and Thomas Hotel",8507,Rajasthani Laal Maas,Historical
Arunachal Pradesh,Fort in Arunachal Pradesh,Trekking,Tamil,Taylor-King Hotel,8662,Dosa,Adventure
Arunachal Pradesh,Palace in Arunachal Pradesh,Boating,English,Cruz and Sons Hotel,3513,Chole Bhature,Cultural
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Trekking,Hindi,Thomas-Monroe Hotel,2651,Chole Bhature,Nature
Arunachal Pradesh,Fort in Arunachal Pradesh,Wildlife Safari,Malayalam,"Martin, Davis and Cook Hotel",3587,Idiyappam,Nature
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Cultural Dance,Tamil,"Jones, Beard and Arellano Hotel",4856,Thali,Wildlife
Arunachal Pradesh,Fort in Arunachal Pradesh,Trekking,Hindi,Hill-Gonzalez Hotel,3325,Chole Bhature,Romantic
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Camping,Malayalam,Ferguson PLC Hotel,8541,Seafood,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Wildlife Safari,Marathi,"Kaiser, Huff and Carter Hotel",5870,Prawn Curry,Adventure
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Boating,English,Heath LLC Hotel,1876,Prawn Curry,Romantic
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Shopping,English,Morgan Group Hotel,4315,Idiyappam,Cultural
Arunachal Pradesh,Temple in Arunachal Pradesh,Boating,Marathi,Pena and Sons Hotel,1785,Seafood,Nature
Arunachal Pradesh,Fort in Arunachal Pradesh,Cultural Dance,Marathi,"Brooks, Burgess and Spencer Hotel",5919,Idiyappam,Historical
Arunachal Pradesh,Palace in Arunachal Pradesh,Trekking,English,Torres-Gomez Hotel,8158,Seafood,Religious
Arunachal Pradesh,Temple in Arunachal Pradesh,Wildlife Safari,English,Villanueva-Cooper Hotel,4343,Seafood,Adventure
Arunachal Pradesh,Palace in Arunachal Pradesh,Trekking,English,Gross Inc Hotel,6554,Dosa,Romantic
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Wildlife Safari,Konkani,Simpson-Johnson Hotel,7835,Dosa,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Trekking,Konkani,Powell Inc Hotel,2843,Dosa,Wildlife
Arunachal Pradesh,Temple in Arunachal Pradesh,Historical Tour,English,Jones and Sons Hotel,7799,Idiyappam,Romantic
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Historical Tour,Hindi,Shea PLC Hotel,5951,Seafood,Wildlife
Arunachal Pradesh,Temple in Arunachal Pradesh,Historical Tour,Konkani,Guerrero Ltd Hotel,7108,Chole Bhature,Nature
Arunachal Pradesh,Temple in Arunachal Pradesh,Wildlife Safari,Marathi,"Miller, Sutton and Brady Hotel",7855,Idiyappam,Historical
Arunachal Pradesh,Fort in Arunachal Pradesh,Boating,Malayalam,Thompson-Heath Hotel,3867,Rajasthani Laal Maas,Nature
Arunachal Pradesh,Fort in Arunachal Pradesh,Shopping,Punjabi,Griffin-Mcdonald Hotel,7687,Seafood,Cultural
Arunachal Pradesh,Temple in Arunachal Pradesh,Boating,English,Wilson PLC Hotel,6648,Chole Bhature,Historical
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Boating,Punjabi,Chase-Hartman Hotel,6262,Seafood,Historical
Arunachal Pradesh,Fort in Arunachal Pradesh,Historical Tour,Hindi,"Bradford, Lang and May Hotel",5498,Rajasthani Laal Maas,Wildlife
Arunachal Pradesh,Palace in Arunachal Pradesh,Historical Tour,Punjabi,"Chavez, Mays and Taylor Hotel",1858,Dosa,Romantic
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Camping,Tamil,Lloyd LLC Hotel,1835,Dosa,Historical
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Historical Tour,Tamil,Mendez-Moss Hotel,2965,Dosa,Adventure
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Boating,Malayalam,"Edwards, Kelley and Lee Hotel",7506,Chole Bhature,Historical
Arunachal Pradesh,Beach in Arunachal Pradesh,Boating,English,"Moreno, Harrington and Wilkinson Hotel",9973,Prawn Curry,Romantic
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Boating,Konkani,Lyons-Carroll Hotel,2094,Dosa,Adventure
Arunachal Pradesh,Palace in Arunachal Pradesh,Shopping,English,Bartlett Group Hotel,2974,Rajasthani Laal Maas,Religious
Arunachal Pradesh,Palace in Arunachal Pradesh,Wildlife Safari,Punjabi,Wilson LLC Hotel,2320,Chole Bhature,Nature
Arunachal Pradesh,Fort in Arunachal Pradesh,Camping,Tamil,"Sullivan, Kim and Oneill Hotel",3941,Chole Bhature,Religious
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Historical Tour,Malayalam,"Maldonado, Young and Mcbride Hotel",4547,Seafood,Historical
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Boating,Marathi,"Rivera, Ramos and Holden Hotel",2594,Seafood,Cultural
Arunachal Pradesh,Palace in Arunachal Pradesh,Wildlife Safari,Hindi,"Hines, Thompson and Knight Hotel",4382,Chole Bhature,Romantic
Arunachal Pradesh,Temple in Arunachal Pradesh,Historical Tour,English,"Gallagher, Wilson and Jackson Hotel",5370,Thali,Cultural
Arunachal Pradesh,Beach in Arunachal Pradesh,Wildlife Safari,Punjabi,Harris Ltd Hotel,2762,Thali,Cultural
Arunachal Pradesh,Palace in Arunachal Pradesh,Camping,Konkani,Huffman-Wilson Hotel,4428,Prawn Curry,Nature
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Historical Tour,Marathi,"Ramos, Jackson and Day Hotel",7544,Rajasthani Laal Maas,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Wildlife Safari,English,Schwartz and Sons Hotel,5524,Idiyappam,Nature
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Shopping,English,Nguyen-Herring Hotel,5961,Prawn Curry,Cultural
Arunachal Pradesh,Palace in Arunachal Pradesh,Wildlife Safari,Marathi,"Chang, Miller and Stewart Hotel",2431,Dosa,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Trekking,Tamil,Landry-Evans Hotel,4054,Idiyappam,Religious
Arunachal Pradesh,Beach in Arunachal Pradesh,Shopping,Marathi,Mitchell and Sons Hotel,7516,Prawn Curry,Cultural
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Historical Tour,English,"Ryan, Cervantes and Murray Hotel",8953,Seafood,Wildlife
Arunachal Pradesh,Palace in Arunachal Pradesh,Cultural Dance,English,Jackson Inc Hotel,4155,Rajasthani Laal Maas,Romantic
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Trekking,Hindi,Ware Ltd Hotel,7683,Seafood,Nature
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Historical Tour,Marathi,Cruz-Myers Hotel,9527,Rajasthani Laal Maas,Cultural
Arunachal Pradesh,Temple in Arunachal Pradesh,Wildlife Safari,Marathi,Hunt Group Hotel,8117,Prawn Curry,Historical
Arunachal Pradesh,Backwaters in Arunachal Pradesh,Wildlife Safari,Malayalam,"Garcia, Vargas and Fox Hotel",8138,Idiyappam,Adventure
Arunachal Pradesh,Fort in Arunachal Pradesh,Historical Tour,English,Ryan-Allen Hotel,9743,Idiyappam,Historical
Arunachal Pradesh,Beach in Arunachal Pradesh,Shopping,Hindi,Miller Inc Hotel,4889,Thali,Romantic
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Shopping,Malayalam,"Gray, Goodman and Castillo Hotel",3392,Prawn Curry,Historical
Arunachal Pradesh,Temple in Arunachal Pradesh,Historical Tour,Malayalam,Thompson LLC Hotel,7621,Thali,Adventure
Arunachal Pradesh,Temple in Arunachal Pradesh,Boating,Konkani,Patrick-Jacobson Hotel,1762,Seafood,Historical
Arunachal Pradesh,Wildlife Sanctuary in Arunachal Pradesh,Cultural Dance,Konkani,Coleman and Sons Hotel,3911,Dosa,Cultural
Arunachal Pradesh,Fort in Arunachal Pradesh,Shopping,Konkani,Escobar-Taylor Hotel,3791,Rajasthani Laal Maas,Cultural
Arunachal Pradesh,Hill Station in Arunachal Pradesh,Historical Tour,English,"Mcintyre, Cox and Evans Hotel",3831,Thali,Religious
Arunachal Pradesh,Temple in Arunachal Pradesh,Camping,Tamil,Lopez LLC Hotel,8041,Dosa,Wildlife
Arunachal Pradesh,Temple in Arunachal Pradesh,Camping,English,Haney Group Hotel,9090,Seafood,Historical
Arunachal Pradesh,Palace in Arunachal Pradesh,Boating,English,Greer-Bowers Hotel,3159,Chole Bhature,Adventure
Assam,Palace in Assam,Camping,Tamil,Middleton-Fry Hotel,7833,Rajasthani Laal Maas,Cultural
Assam,Temple in Assam,Trekking,Marathi,"Guerrero, Rodriguez and Lucas Hotel",6316,Chole Bhature,Cultural
Assam,Fort in Assam,Wildlife Safari,Tamil,Hartman-Ramirez Hotel,2163,Idiyappam,Cultural
Assam,Temple in Assam,Trekking,Malayalam,"Garcia, Jones and Hickman Hotel",6930,Seafood,Adventure
Assam,Fort in Assam,Boating,Hindi,"Bradley, Willis and Bates Hotel",3159,Seafood,Wildlife
Assam,Backwaters in Assam,Wildlife Safari,Malayalam,Jefferson-Murray Hotel,2481,Thali,Romantic
Assam,Beach in Assam,Cultural Dance,Marathi,Cabrera Ltd Hotel,7582,Thali,Historical
Assam,Temple in Assam,Camping,Konkani,"Klein, Navarro and Morton Hotel",9041,Chole Bhature,Romantic
Assam,Hill Station in Assam,Camping,Malayalam,Mahoney and Sons Hotel,2334,Idiyappam,Romantic
Assam,Fort in Assam,Trekking,Tamil,Miller-Potter Hotel,9487,Dosa,Cultural
Assam,Fort in Assam,Trekking,Punjabi,Davis-Morris Hotel,9789,Thali,Religious
Assam,Wildlife Sanctuary in Assam,Historical Tour,Malayalam,"Jones, Ponce and Nelson Hotel",8706,Rajasthani Laal Maas,Wildlife
Assam,Backwaters in Assam,Camping,English,Daugherty-Moore Hotel,3829,Idiyappam,Religious
Assam,Palace in Assam,Wildlife Safari,Tamil,Miller-Stewart Hotel,6018,Dosa,Religious
Assam,Palace in Assam,Trekking,Malayalam,Smith-Sims Hotel,1698,Seafood,Religious
Assam,Temple in Assam,Wildlife Safari,English,Barry PLC Hotel,8341,Idiyappam,Cultural
Assam,Beach in Assam,Historical Tour,Marathi,"Hansen, Adams and Reed Hotel",5680,Seafood,Nature
Assam,Palace in Assam,Boating,Konkani,Murphy-Williams Hotel,2113,Chole Bhature,Wildlife
Assam,Temple in Assam,Shopping,Hindi,Taylor and Sons Hotel,5089,Dosa,Religious
Assam,Backwaters in Assam,Historical Tour,Hindi,Mccarthy-Riggs Hotel,2810,Rajasthani Laal Maas,Historical
Assam,Wildlife Sanctuary in Assam,Camping,Marathi,Robinson Group Hotel,7596,Idiyappam,Historical
Assam,Hill Station in Assam,Wildlife Safari,Marathi,"Brown, Taylor and Hubbard Hotel",6916,Rajasthani Laal Maas,Wildlife
Assam,Hill Station in Assam,Wildlife Safari,English,"Harrison, Delacruz and Oliver Hotel",6070,Idiyappam,Romantic
Assam,Wildlife Sanctuary in Assam,Boating,English,Harmon-Howard Hotel,1864,Dosa,Historical
Assam,Hill Station in Assam,Camping,Marathi,Jensen-Salinas Hotel,6424,Dosa,Wildlife
Assam,Temple in Assam,Trekking,Marathi,Jackson-Johnson Hotel,6420,Idiyappam,Cultural
Assam,Hill Station in Assam,Trekking,Konkani,"Rush, Perry and Gutierrez Hotel",3924,Prawn Curry,Religious
Assam,Wildlife Sanctuary in Assam,Shopping,English,Wolfe Group Hotel,5575,Dosa,Religious
Assam,Palace in Assam,Cultural Dance,Marathi,"Horn, Richardson and Mckinney Hotel",9787,Chole Bhature,Historical
Assam,Backwaters in Assam,Historical Tour,Tamil,Allen Group Hotel,6926,Chole Bhature,Nature
Assam,Beach in Assam,Boating,Marathi,"Moore, Boyd and Owen Hotel",9383,Rajasthani Laal Maas,Nature
Assam,Wildlife Sanctuary in Assam,Camping,Hindi,Cox and Sons Hotel,8637,Dosa,Cultural
Assam,Temple in Assam,Boating,Tamil,Bennett Inc Hotel,9252,Thali,Adventure
Assam,Hill Station in Assam,Trekking,Malayalam,"Miller, Jones and Cunningham Hotel",5361,Dosa,Historical
Assam,Temple in Assam,Wildlife Safari,English,Smith-Lang Hotel,8140,Dosa,Cultural
Assam,Beach in Assam,Camping,English,"Patterson, Vaughn and Price Hotel",4201,Chole Bhature,Religious
Assam,Fort in Assam,Camping,Marathi,Ramirez-Bass Hotel,7674,Idiyappam,Nature
Assam,Palace in Assam,Trekking,Hindi,"Thomas, Williams and Day Hotel",1639,Seafood,Romantic
Assam,Temple in Assam,Historical Tour,Hindi,"Haynes, Kim and Trujillo Hotel",3988,Thali,Nature
Assam,Temple in Assam,Boating,Hindi,Klein and Sons Hotel,3686,Chole Bhature,Cultural
Assam,Hill Station in Assam,Cultural Dance,Punjabi,Alexander PLC Hotel,7353,Rajasthani Laal Maas,Romantic
Assam,Palace in Assam,Trekking,English,Horn-Merritt Hotel,6575,Chole Bhature,Nature
Assam,Palace in Assam,Wildlife Safari,Hindi,Hunter-Fleming Hotel,2147,Prawn Curry,Nature
Assam,Wildlife Sanctuary in Assam,Boating,Konkani,"Boyd, Howell and Hendricks Hotel",4284,Dosa,Cultural
Assam,Temple in Assam,Trekking,Malayalam,Arellano LLC Hotel,6274,Prawn Curry,Cultural
Assam,Fort in Assam,Trekking,Konkani,"Allen, Flores and Holmes Hotel",6160,Seafood,Nature
Assam,Temple in Assam,Wildlife Safari,Konkani,Haynes-Russell Hotel,5759,Seafood,Wildlife
Assam,Wildlife Sanctuary in Assam,Cultural Dance,Marathi,Phillips-Berger Hotel,3074,Dosa,Romantic
Assam,Beach in Assam,Cultural Dance,Malayalam,Foster and Sons Hotel,2024,Dosa,Cultural
Assam,Hill Station in Assam,Cultural Dance,English,Huff Ltd Hotel,9244,Idiyappam,Historical
